title,text,sport
Afghanistan likely to play December Test against Australia,"Cricket Australia and the Afghanistan Cricket Board are reportedly in an advanced stage of negotiations and are expected to confirm a December Test in Perth between Australia and Afghanistan soon. ESPNcricinfo reported that the only question that remains to be resolved is whether the match can be played as a day-night Test. According to the ICC’s Future Tours Programme, Australia was meant to host Afghanistan in November, immediately after the now postponed men’s T20 World Cup, but due to the ongoing Coronavirus pandemic, many tournaments have either been canceled or postponed. ESPNcricinfo reported that the one-off Test is not part of the ICC’s World Test Championship, which is limited to the top nine teams and does not include three Full Members in Afghanistan, Ireland and Zimbabwe. The Australia Test will be Afghanistan’s fifth after the country gained Full-Member status in 2017. Since then, Afghanistan has lost Tests to India and West Indies, but has already picked up two wins, against Ireland and Bangladesh.",cricket
Afghanistan raring to go ahead of Futsal World Cup match against Angola,"Afghanistan will meet Angola later Sunday, September 15, in their first FIFA Futsal World Cup match in Uzbekistan. The match will kick off at 4.30pm and will be broadcast live on Ariana Television. Players have spent the past week in practise, preparing for their matches, and said Saturday they are well prepared for their debut at this year’s Futsal World Cup. The World Cup got underway on Saturday, September 14, in Uzbekistan. Twenty-four teams will take part in the tournament, with Afghanistan, Tajikistan, New Zealand and France making their debut and Portugal defending the title they won three years ago in Lithuania. The first-ever FIFA tournament in Central Asia kicked off on 14 September in Bukhara and the capital, Tashkent. The eastern city of Andijan will complete the trio of venues for the 24-team competition. The 2024 edition will be the tenth in the history of the FIFA Futsal World Cup and will run until October 6. Uzbekistan will be joined in the competition by four former champions – Argentina, Brazil, Portugal and Spain – and four debutantes: Afghanistan, France, New Zealand and Tajikistan. Angola, Costa Rica, Croatia, Cuba, Guatemala, Iran, Kazakhstan, Libya, Morocco, Netherlands, Panama, Paraguay, Thailand, Ukraine and Venezuela complete the line-up after successfully completing the 121-team qualifying process.",futsal
Afghan Abdalyan beat Sri Lanka A by 3 wickets in Rising Stars Asia Cup opener,"The Afghanistan A national cricket team (Afghan Abdalyan) defeated the Sri Lanka A cricket team by a margin of three wickets in the opening match of Rising Stars Asia Cup 2025. The match took place on Saturday in Doha, the capital of Qatar. Sri Lanka A won the toss and opted to bat first, posting 170 runs for the loss of nine wickets in their 20 overs, setting a target of 171 for Afghanistan. Afghan Abdalyan successfully chased the target in 19.5 overs, losing seven wickets, securing a three-wicket victory over Sri Lanka. Bilal Sami played a key role, scoring 45 runs and taking four wickets. In their next match, Afghanistan A will face Bangladesh A on 17 November.",cricket
Afghanistan’s white-ball series against Sri Lanka postponed,"The Afghanistan Cricket Board (ACB) has announced that the Afghanistan vs Sri Lanka series, originally set to start on 13 March 2026 in the UAE, has been postponed to the last quarter of 2026 due to logistical challenges, including flight restrictions arising from the Middle East conflict. The series, Afghanistan’s first hosting of Sri Lanka, was scheduled for three T20Is at Sharjah Cricket Stadium (13, 15, 17 March) and three ODIs at Dubai International Cricket Stadium (20, 22, 25 March). Despite preparations and coordination with the Emirates Cricket Board, unforeseen developments made travel and operational planning unfeasible, ACB reported adding Sri Lanka Cricket Board was fully informed, and the postponement was made with their consent. The UAE remains the preferred venue, and new dates will be announced later.",cricket
Ireland beat Afghanistan by seven wickets in first T20I match of series,"Ireland beat Afghanistan by seven wickets in the first of five matches in the T20 International in Belfast on Tuesday. George Dockrell hit the winning boundary off the penultimate ball to lift Ireland on to 171 for three after they were set a target of 169. Afghanistan’s total of 168 for seven had been boosted by 30 runs off the final two overs, with Ibrahim Zadran clubbing 29 not out off 18 balls. Afghanistan’s top scorer, opener Usman Ghani, struck two sixes and six fours in his 59 off 42 balls. The two sides will meet again on Thursday at the same Civil Services Cricket Club venue in Stormont for the second time in their five-match series.",cricket
Historic team rankings favor India and Pakistan at World Cup,"India’s recent run of form in 50-over cricket means Rohit Sharma’s side will start this year’s ICC Men’s Cricket World Cup as the No.1 ranked side on the MRF Tyres ODI Team Rankings. India have lost just four of the 20 ODI matches they have contested in 2023 and as a result cannot be overtaken as the top-ranked side on the team rankings before the World Cup begins on October 5. While Pakistan’s rating of 115 is just two rating points behind India’s, these two places are set in stone up until the start of the World Cup regardless of the outcome of any remaining fixtures between now and the commencement of the six-week tournament. The warm-up fixtures that are scheduled to take place prior to the World Cup are not counted as official ODI matches and do not alter the team rankings. An historical look at past World Cups shows this could be a good sign for both India and Pakistan, with every edition of the tournament since 1999 having been won by sides that have occupied the top two places on the ODI rankings at the start of the event. Australia were ranked second when winning a second title in England in 1999 and then occupied top spot on the rankings when claiming the coveted World Cup trophy in South Africa in 2003 and in the West Indies in 2007. Adam Gilchrist’s monstrous hundred helped Australia to victory over Sri Lanka in the 2007 World Cup Final. Similarly, India held the No.2 ranking when victorious on home soil in 2011 and Australia (2015) and England (2019) were the No.1 ranked sides when they proved too strong in the two most recent editions of the 50-over showcase. While the ICC applied their ratings system to results that dated back to 1981, there was not enough data available to apply these ratings to results prior to this year due to infrequency of matches and the small number of competing teams. As a result, there are no rankings available for the first two editions of the World Cup in 1975 and 1979. Another good sign for India is the recent domination of host countries at the World Cup. The three most recent World Cups have been won by countries that hosted the World Cup Final and India will get their chance to keep that trend going when the 2023 decider is held at Narendra Modi Stadium in Ahmedabad on November 19. And while all the pressure will be on India as the sole host of the World Cup this year and current holder of the premier ODI ranking, Rohit’s side can take further confidence in the performance of No.1 ranked sides at previous editions of the tournament. Only once has the top-ranked team failed to make it through to the knockout stages of the event – Australia narrowly missed on qualifying for the semi-finals in 1992 – and the side with the No.1 ranking has made it through to the tournament decider on seven of the most recent 10 occasions.",cricket
World Cup: Inspired Afghanistan eye another upset in New Zealand clash,"The Afghanistan side will look to carry forward the lessons from their England triumph into Chennai, where they will meet a strong New Zealand outfit in the ICC Men’s Cricket World Cup 2023 on Wednesday, October 18. Afghanistan’s win over England brought a new sense of enthusiasm to the 2023 Cricket World Cup. Besides shaking up the points table, Afghanistan have shown that they can beat any side in the tournament on their day. Afghanistan will take heart in the fact that in their first ODI win since July 2023, the side didn’t bank on one particular player to fire for them. Rahmanullah Gurbaz blazed at the top, Ikram Alikhil fought hard during the middle overs while the likes of Rashid Khan and Mujeeb Ur Rahman made important all-round contributions. However, New Zealand aren’t a side that will roll over easily. Despite yet another injury blow, in the form of losing Kane Williamson to a finger fracture during their Bangladesh game, the Black Caps have had an enviable run in the tournament. All their three wins have come by a comfortable margin, and most of their players have shown great form. Mujeeb however, played a big role in Afghanistan’s surprise win over England, with a brilliant cameo with the bat down the order and then picking up three important wickets. Two of these came in the middle overs, and derailed the England chase. Adept at bowling across the innings, and a successful operative across conditions, Mujeeb will no doubt be expected to play an important role in Chennai as well. If the wicket turns out to be on a slightly slow side, his off-spin can prove to be more than handy. SquadsNew Zealand squad: Kane Williamson (c), Trent Boult, Mark Chapman, Devon Conway, Lockie Ferguson, Matt Henry, Tom Latham, Daryl Mitchell, Jimmy Neesham, Glenn Phillips, Rachin Ravindra, Mitch Santner, Ish Sodhi, Tim Southee, Will Young. Afghanistan squad: Hashmatullah Shahidi (c), Rahmanullah Gurbaz, Ibrahim Zadran, Riaz Hassan, Rahmat Shah, Najibullah Zadran, Mohammad Nabi, Ikram Alikhil, Azmatullah Omarzai, Rashid Khan, Mujeeb ur Rahman, Noor Ahmad, Fazalhaq Farooqi, Abdul Rahman, Naveen ul Haq. For fans in Afghanistan Ariana Television Network is the official broadcasting partner in Afghanistan and has the exclusive rights to broadcast and stream Cricket World Cup 2023 matches into the homes of fans, live, each day. As we fight the global quest to Stop Piracy, we appeal to our fans in Afghanistan to tune in to Ariana Television or visit www.arianatelevision.com, and stream matches live. Please don’t support pirate broadcasters and websites streaming pirated versions! Afghanistan’s fixtures still to come, that will be broadcast live on Ariana Television are as follows: • Afghanistan vs New Zealand: Wednesday, October 18, 2023, Chennai• Afghanistan vs Pakistan: Monday, October 23, 2023, Chennai• Afghanistan vs Sri Lanka: Monday, October 30, 2023, Pune• Afghanistan vs Netherlands: Friday, November 3, 2023, Lucknow• Afghanistan vs Australia: Tuesday, November 7, 2023, Mumbai• Afghanistan vs South Africa",cricket
India beats Afghanistan by six wickets in T20I match,"India beat Afghanistan by six wickets on Thursday night in the first of three T20I matches in chilly Mohali. Afghanistan’s captain Ibrahim Zadran said after the match that the team will look to improve their fielding in the next match. “We were short 30-40 runs. We lost the toss too. But the boys fought well. “We were trying to have a good powerplay start but we lost wickets then. One of us should’ve gone for 14-15 overs but we lost back to back wickets,” he said. “When new batters came, we came under pressure. (Fielding effort) In the second innings there was dew and gripping of the ball was difficult. I can say that the boys tried really well. “We will try to improve our fielding. We were quite lazy with the fielding today. We will try to improve batting as well. Bowling we have no issue. Will focus on what we did wrong today,” he said. India’s Shivam Dube, who was named player of the match, enjoyed a particularly good game with figures of 1 for 9 in two overs with a punchy, unbeaten half-century that headlined India’s successful chase of 159. Speaking after the match, Dube said: “It was really cold but I enjoyed playing on this ground. Playing after a long time….batting at No. 4 was a bit of pressure for me but I had one thing on my mind… that I had to play my style of cricket. “From my style, I feel a bit of pressure first 2-3 balls but after that I think about the ball and don’t think too much. I know I can hit big sixes in T20s, so I know I can get runs anyway.”",cricket
Sri Lanka secures 3-0 whitewash over Afghanistan in ODI series,"Sri Lanka on Wednesday chased down a 267-run target in just 35.2 overs as they completed a dominant seven-wicket win in the third and final ODI in Pallekele against Afghanistan, and with it secured a 3-0 whitewash of the series. Pathum Nissanka recorded his second century in three games to become the highest run-scorer in a three-match series for Sri Lanka with 346 runs. In Wednesday’s match he racked up a 101-ball 118, and in the process became the fastest Sri Lankan to 2,000 ODI runs, achieving the feat in 52 games – 11 games quicker than next fastest Upul Tharanga. Afghanistan for their part will rue a missed opportunity. Despite fifties from Rahmat Shah and Azmatullah Omarzai – and a blazing start from Rahmanullah Gurbaz – they lost 6 for 43 at the end to be bowled out for 266. With the one-off Test and the three ODI matches behind them, Afghanistan will now be looking to add at least one win to their belt in the upcoming T20I stage. The third and final stage of the tour is scheduled to be played from Saturday, February 17 to 21 at the Rangiri Dambulla International Cricket Stadium. On Monday, the Afghanistan Cricket Board’s National Selection Committee announced the squad for the three-match T20I series against Sri Lanka. Rashid Khan, Afghanistan’s regular T20I captain, continues to recover from back surgery and has not been drafted into the squad. Ibrahim Zadran, who led Afghanistan in the previous two T20I series in the UAE and India, will captain the team against Sri Lanka. Mujeeb Ur Rahman also missed out on the squad after injuring his right hand before the start of the ODI series against Sri Lanka last week. In addition, fast bowler Mohammad Saleem Safi, who was part of the Afghanistan squad for the India tour, has been left out of the squad due to a hamstring strain. However, Wafadar Momand has been recalled to the squad to face Sri Lanka, as Safi’s replacement. Chief Selector Ahmad Shah Sulimankhil says this stage of the tour will help prepare for the upcoming ICC Men’s T20 World Cup. “We have a close sight on the upcoming T20 World Cup for which we want to prepare a very good mix of players consisting of both juniors and seniors. This series alongside the three T20Is against Ireland in March is a good opportunity for us to test our bench strength and finalize a good squad for the mega event.” Afghanistan Squad for the three-match T20I series against Sri Lanka: Ibrahim Zadran (C), Rahmanullah Gurbaz (WK), Mohammad Ishaq Rahimi (WK), Hazratullah Zazai, Gulbadin Naib, Mohammad Nabi, Najibullah Zadran, Azmatullah Omarzai, Karim Janat, Sharafuddin Ashraf, Fazal Haq Farooqi, Fareed Ahmad, Naveen Ul Haq, Noor Ahmad, Wafadar Momand and Qais Ahmad. For fans, Ariana Television will broadcast Saturday’s match live – so be sure to check for news and updates on ATN’s websites and social media platforms.",cricket
Pakistan Cricket Board to unveil much-awaited Asia Cup schedule,"The Pakistan Cricket Board (PCB) Management Committee chairman Zaka Ashraf is expected to present the Asia Cup 2023 schedule on Wednesday night in Lahore after reports emerged earlier in the day that the tournament will start on August 30, a day earlier than originally planned. Ashraf will announce the much-awaited schedule for the hybrid model which will see the Asian event take place in two phases, the first phase in Pakistan and the second in Sri Lanka. Geo TV reported Wednesday that the four matches in Pakistan will be played in Lahore and Multan. ESPNcricinfo meanwhile reported it has learnt the tournament opener will be played in Multan with hosts Pakistan playing Nepal. The final is scheduled in Colombo on September 17. The original draft schedule, prepared by the PCB, the hosting board, has already undergone several changes. A total of 13 matches will be played in the tournament. Pakistan are grouped with India and Nepal in Group A while Sri Lanka, Bangladesh and Afghanistan are in Group B. The top two teams from each group will qualify for the Super Four stage with the top two teams in this phase advancing to the final. ESPN reported that according to the original model, Pakistan were meant to host four matches in just one city. However, Multan was added as the second venue after a new PCB administration, under new chairman Zaka Ashraf, took over this month. In the draft schedule, Multan is scheduled to host just the opening match with Lahore staging three matches and one Super Fours game. The Asia Cup will meanwhile be broadcast live by Ariana Television Network, starting on August 30. Broadcasting details, final fixtures and match reports will also be published on ATN’s digital sites daily – providing cricket fans with all the information they need. The Asia Cup, which will be played in the 50-overs format this time, is essentially a preparation run for five of the six teams – barring Nepal – for the ODI World Cup which begins on October 5 in India.",cricket
